algorithm,benchmark,dim,seed,best_fitness,fe_used
O-PSO,Schwefel,10,18,1190.4515841930433,20000
O-PSO,Schwefel,10,19,475.2703979699172,20000
O-PSO,Schwefel,10,20,1008.2537809573105,20000
O-PSO,Schwefel,10,21,713.664126710959,20000
O-PSO,Schwefel,10,22,356.8320633554795,20000
O-PSO,Schwefel,10,23,1006.734012015032,20000
O-PSO,Schwefel,10,24,908.0326772388971,20000
O-PSO,Schwefel,10,25,713.664126710959,20000
O-PSO,Schwefel,10,26,986.9997216068423,20000
O-PSO,Schwefel,10,27,750.2149308926782,20000
O-PSO,Schwefel,10,28,1126.6921155717491,20000
O-PSO,Schwefel,10,29,454.0163386194481,20000
AO-PSO,Schwefel,10,0,952.0578554520011,20017
AO-PSO,Schwefel,10,1,236.87666922887547,20010
AO-PSO,Schwefel,10,2,1150.5852147244236,20013
AO-PSO,Schwefel,10,3,724.0386320893385,20026
AO-PSO,Schwefel,10,4,1158.6155252286653,20012
AO-PSO,Schwefel,10,5,924.061902745937,20012
AO-PSO,Schwefel,10,6,988.0426994338377,20005
AO-PSO,Schwefel,10,7,725.8435116516621,20021
AO-PSO,Schwefel,10,8,356.8320633554795,20008
AO-PSO,Schwefel,10,9,950.5407959408017,20000
AO-PSO,Schwefel,10,10,858.4233545280927,20007
AO-PSO,Schwefel,10,11,1551.629901255827,20016
AO-PSO,Schwefel,10,12,1236.1514697808916,20021
AO-PSO,Schwefel,10,13,843.0993334853692,20005
AO-PSO,Schwefel,10,14,355.3150038433132,20004
AO-PSO,Schwefel,10,15,810.8484019749285,20010
AO-PSO,Schwefel,10,16,1007.3479601612353,20021
AO-PSO,Schwefel,10,17,1192.4043996104692,20033
AO-PSO,Schwefel,10,18,593.7087325843554,20003
AO-PSO,Schwefel,10,19,750.1230523784157,20020
AO-PSO,Schwefel,10,20,799.0522259909048,20020
AO-PSO,Schwefel,10,21,848.8654046002944,20001
AO-PSO,Schwefel,10,22,908.6229245658992,20008
AO-PSO,Schwefel,10,23,118.43833461443774,20008
AO-PSO,Schwefel,10,24,855.7961512123975,20019
AO-PSO,Schwefel,10,25,713.6641267109594,20011
AO-PSO,Schwefel,10,26,830.5854018132313,20008
AO-PSO,Schwefel,10,27,733.7441640068905,20002
AO-PSO,Schwefel,10,28,573.9717327460526,20007
AO-PSO,Schwefel,10,29,1020.0945631700511,20009
PSO,Sphere,30,0,3.1499278250218455e-33,60000
PSO,Sphere,30,1,5.915453445256961e-31,60000
PSO,Sphere,30,2,9.956707985758369e-29,60000
PSO,Sphere,30,3,8.270412513805824e-36,60000
PSO,Sphere,30,4,5.299539660601003e-32,60000
PSO,Sphere,30,5,10000.000000000002,60000
PSO,Sphere,30,6,6.3221788794868e-27,60000
PSO,Sphere,30,7,3.4218120192703906e-35,60000
PSO,Sphere,30,8,6.80962731231465e-36,60000
PSO,Sphere,30,9,4.864505974637267e-30,60000
PSO,Sphere,30,10,2.885024094324225e-33,60000
PSO,Sphere,30,11,6.273325052947427e-29,60000
PSO,Sphere,30,12,8.660129322385815e-29,60000
PSO,Sphere,30,13,7.698391470151192e-36,60000
PSO,Sphere,30,14,10000.000000000002,60000
PSO,Sphere,30,15,5.260367379214876e-35,60000
PSO,Sphere,30,16,10000.000000000007,60000
PSO,Sphere,30,17,10000.000000000018,60000
PSO,Sphere,30,18,4.512091259791192e-35,60000
PSO,Sphere,30,19,2.0180666519660287e-32,60000
PSO,Sphere,30,20,10000.000000000035,60000
PSO,Sphere,30,21,9.547020550528566e-36,60000
PSO,Sphere,30,22,2.9303248804822642e-33,60000
PSO,Sphere,30,23,1.06000392090558e-31,60000
PSO,Sphere,30,24,4.4545090625797814e-32,60000
PSO,Sphere,30,25,3.354283076269684e-25,60000
PSO,Sphere,30,26,1.8168838001003238e-29,60000
PSO,Sphere,30,27,5.7479778924188554e-37,60000
PSO,Sphere,30,28,2.003870780692815e-34,60000
PSO,Sphere,30,29,1.4820222671369548e-29,60000
O-PSO,Sphere,30,0,10000.000000000007,60000
O-PSO,Sphere,30,1,1.380734049368321e-34,60000
O-PSO,Sphere,30,2,4.7479034794270097e-29,60000
O-PSO,Sphere,30,3,8.146160366572435e-25,60000
O-PSO,Sphere,30,4,1.8616327991832676e-31,60000
O-PSO,Sphere,30,5,1.0014899502753528e-30,60000
O-PSO,Sphere,30,6,6.308494127798014e-32,60000
O-PSO,Sphere,30,7,2.1570870353883926e-31,60000
O-PSO,Sphere,30,8,4.5242347349391257e-35,60000
O-PSO,Sphere,30,9,2.473199686915344e-28,60000
O-PSO,Sphere,30,10,1.5265100073284257e-27,60000
O-PSO,Sphere,30,11,1.3136970661896123e-34,60000
O-PSO,Sphere,30,12,3.610737895412327e-27,60000
O-PSO,Sphere,30,13,3.2179349920271597e-28,60000
O-PSO,Sphere,30,14,9.274807058036351e-35,60000
O-PSO,Sphere,30,15,1.0331867456497562e-30,60000
O-PSO,Sphere,30,16,6.723202531107956e-29,60000
O-PSO,Sphere,30,17,2.7216501214174065e-32,60000
O-PSO,Sphere,30,18,9.343013531665821e-31,60000
O-PSO,Sphere,30,19,5.051580994313614e-28,60000
O-PSO,Sphere,30,20,7.870624804741324e-27,60000
O-PSO,Sphere,30,21,3.123358891895381e-35,60000
O-PSO,Sphere,30,22,2.6167694070597616e-32,60000
O-PSO,Sphere,30,23,1.4162378091743945e-34,60000
O-PSO,Sphere,30,24,10000.000000000004,60000
O-PSO,Sphere,30,25,3.4488680291777387e-28,60000
O-PSO,Sphere,30,26,5.98169824357451e-38,60000
O-PSO,Sphere,30,27,1.7268412940023294e-33,60000
O-PSO,Sphere,30,28,8.287905765049042e-33,60000
O-PSO,Sphere,30,29,2.971257440327226e-30,60000
AO-PSO,Sphere,30,0,1.385817523716519e-108,60005
AO-PSO,Sphere,30,1,2.902226387035104e-107,60003
AO-PSO,Sphere,30,2,3.6654102083808195e-107,60017
AO-PSO,Sphere,30,3,1.5755139585661767e-106,60001
AO-PSO,Sphere,30,4,1.0981129343306623e-108,60022
AO-PSO,Sphere,30,5,1.4086335830186116e-109,60011
AO-PSO,Sphere,30,6,3.156427013517976e-106,60017
AO-PSO,Sphere,30,7,2.7609562048580537e-108,60023
AO-PSO,Sphere,30,8,2.792017475426059e-108,60002
AO-PSO,Sphere,30,9,2.3383283764156934e-110,60014
AO-PSO,Sphere,30,10,3.6835325973085484e-109,60011
AO-PSO,Sphere,30,11,4.079854380133951e-108,60001
AO-PSO,Sphere,30,12,8.873037849319738e-107,60003
AO-PSO,Sphere,30,13,1.0312454587649981e-112,60000
AO-PSO,Sphere,30,14,2.4183284489668426e-105,60019
AO-PSO,Sphere,30,15,1.3332540252254202e-110,60005
AO-PSO,Sphere,30,16,2.6419805761557298e-110,60008
AO-PSO,Sphere,30,17,1.2113693209494648e-109,60009
AO-PSO,Sphere,30,18,5.701811672509718e-109,60001
AO-PSO,Sphere,30,19,2.3528710822966765e-108,60014
AO-PSO,Sphere,30,20,1.1533999493654615e-106,60015
AO-PSO,Sphere,30,21,8.040803219830361e-105,60011
AO-PSO,Sphere,30,22,5.826546023117212e-109,60007
AO-PSO,Sphere,30,23,6.103043153672558e-109,60010
AO-PSO,Sphere,30,24,7.146378978764466e-106,60010
AO-PSO,Sphere,30,25,3.2099597288416914e-106,60019
AO-PSO,Sphere,30,26,9.771843578242957e-110,60020
AO-PSO,Sphere,30,27,9.885344838362963e-108,60004
AO-PSO,Sphere,30,28,1.458360468389448e-108,60021
AO-PSO,Sphere,30,29,1.302324375558575e-107,60028
PSO,Rosenbrock,30,0,5.254278239646836,60000
PSO,Rosenbrock,30,1,19.749616236479472,60000
PSO,Rosenbrock,30,2,244.19489174087843,60000
PSO,Rosenbrock,30,3,2.332512331557082,60000
PSO,Rosenbrock,30,4,14.75453882629108,60000
PSO,Rosenbrock,30,5,10.36661042876125,60000
PSO,Rosenbrock,30,6,91.29588977384039,60000
PSO,Rosenbrock,30,7,555.1406895955062,60000
PSO,Rosenbrock,30,8,95.26559655362864,60000
PSO,Rosenbrock,30,9,7.095668164087961,60000
PSO,Rosenbrock,30,10,12.179102162055209,60000
PSO,Rosenbrock,30,11,4.787472123189111,60000
PSO,Rosenbrock,30,12,122.05363827031208,60000
PSO,Rosenbrock,30,13,4.017014746050229,60000
PSO,Rosenbrock,30,14,90002.54079789658,60000
PSO,Rosenbrock,30,15,20.88764198669674,60000
PSO,Rosenbrock,30,16,36.30726794979505,60000
PSO,Rosenbrock,30,17,15.393903383276944,60000
PSO,Rosenbrock,30,18,90022.27759738947,60000
PSO,Rosenbrock,30,19,68.57677556506084,60000
PSO,Rosenbrock,30,20,19.749545384532663,60000
PSO,Rosenbrock,30,21,567.9608761975765,60000
PSO,Rosenbrock,30,22,3032.537680823974,60000
PSO,Rosenbrock,30,23,569.0629528129283,60000
PSO,Rosenbrock,30,24,90017.65479252445,60000
PSO,Rosenbrock,30,25,90019.03552989,60000
PSO,Rosenbrock,30,26,3.9985866194605233,60000
PSO,Rosenbrock,30,27,17.716389843020178,60000
PSO,Rosenbrock,30,28,90006.70638471626,60000
PSO,Rosenbrock,30,29,80.90232749589671,60000
O-PSO,Rosenbrock,30,0,0.3156113959858255,60000
O-PSO,Rosenbrock,30,1,26.296221799682364,60000
O-PSO,Rosenbrock,30,2,81.92499832558454,60000
O-PSO,Rosenbrock,30,3,82.11416065520147,60000
O-PSO,Rosenbrock,30,4,68.06736395055151,60000
O-PSO,Rosenbrock,30,5,24.235856470979186,60000
O-PSO,Rosenbrock,30,6,20.591068746601948,60000
O-PSO,Rosenbrock,30,7,71.34287589151096,60000
O-PSO,Rosenbrock,30,8,19.495440566745273,60000
O-PSO,Rosenbrock,30,9,5.730450050467182,60000
O-PSO,Rosenbrock,30,10,70.95688306081553,60000
O-PSO,Rosenbrock,30,11,20.91828175686092,60000
O-PSO,Rosenbrock,30,12,15.924384620692205,60000
O-PSO,Rosenbrock,30,13,20.581732673989546,60000
O-PSO,Rosenbrock,30,14,22.272805632141903,60000
O-PSO,Rosenbrock,30,15,3018.639003655291,60000
O-PSO,Rosenbrock,30,16,90016.03698361485,60000
O-PSO,Rosenbrock,30,17,26.178342660885264,60000
O-PSO,Rosenbrock,30,18,97.88311058697724,60000
O-PSO,Rosenbrock,30,19,238.96426818040254,60000
O-PSO,Rosenbrock,30,20,18.297018022032624,60000
O-PSO,Rosenbrock,30,21,77.16660672964585,60000
O-PSO,Rosenbrock,30,22,90076.41714738992,60000
O-PSO,Rosenbrock,30,23,18.396366392838384,60000
O-PSO,Rosenbrock,30,24,24.21141714686427,60000
O-PSO,Rosenbrock,30,25,569.7381035246948,60000
O-PSO,Rosenbrock,30,26,18.532898317454602,60000
O-PSO,Rosenbrock,30,27,0.002075646700589902,60000
O-PSO,Rosenbrock,30,28,3035.390812019273,60000
O-PSO,Rosenbrock,30,29,5.2453350487660035,60000
AO-PSO,Rosenbrock,30,0,22.818864517222668,60008
AO-PSO,Rosenbrock,30,1,23.193559014706224,60011
AO-PSO,Rosenbrock,30,2,23.45629769970414,60004
AO-PSO,Rosenbrock,30,3,23.30346459832291,60024
AO-PSO,Rosenbrock,30,4,24.159478044878597,60000
AO-PSO,Rosenbrock,30,5,24.41782052338398,60014
AO-PSO,Rosenbrock,30,6,23.362668250756315,60003
AO-PSO,Rosenbrock,30,7,23.601530045409685,60014
AO-PSO,Rosenbrock,30,8,22.551220138730017,60023
AO-PSO,Rosenbrock,30,9,23.519440692602696,60014
AO-PSO,Rosenbrock,30,10,23.35094518755992,60012
AO-PSO,Rosenbrock,30,11,23.6180499567704,60016
AO-PSO,Rosenbrock,30,12,24.154085039750232,60020
AO-PSO,Rosenbrock,30,13,22.81770001602401,60000
AO-PSO,Rosenbrock,30,14,25.17066211167822,60013
AO-PSO,Rosenbrock,30,15,23.286025671032114,60010
AO-PSO,Rosenbrock,30,16,24.006074199591588,60012
AO-PSO,Rosenbrock,30,17,24.341428060330866,60001
AO-PSO,Rosenbrock,30,18,23.570859573821718,60010
AO-PSO,Rosenbrock,30,19,23.069968871002782,60023
AO-PSO,Rosenbrock,30,20,23.225952025616113,60009
AO-PSO,Rosenbrock,30,21,23.48747595099659,60021
AO-PSO,Rosenbrock,30,22,22.687317861364765,60004
AO-PSO,Rosenbrock,30,23,22.92591637566629,60011
AO-PSO,Rosenbrock,30,24,22.988695662532958,60010
AO-PSO,Rosenbrock,30,25,23.50889166208751,60023
AO-PSO,Rosenbrock,30,26,23.259852059782567,60010
AO-PSO,Rosenbrock,30,27,23.203324288027215,60014
AO-PSO,Rosenbrock,30,28,24.423035526122362,60019
AO-PSO,Rosenbrock,30,29,23.318285276514754,60020
PSO,Rastrigin,30,0,106.60235571205692,60000
PSO,Rastrigin,30,1,114.49071674968576,60000
PSO,Rastrigin,30,2,89.5460778599356,60000
PSO,Rastrigin,30,3,144.33951470700848,60000
PSO,Rastrigin,30,4,101.55660389506215,60000
PSO,Rastrigin,30,5,116.40957157472462,60000
PSO,Rastrigin,30,6,104.47031698115887,60000
PSO,Rastrigin,30,7,86.56100265731408,60000
PSO,Rastrigin,30,8,78.60155850426202,60000
PSO,Rastrigin,30,9,172.34024555061876,60000
PSO,Rastrigin,30,10,124.36941738160499,60000
PSO,Rastrigin,30,11,96.510598311504,60000
PSO,Rastrigin,30,12,134.46100706860688,60000
PSO,Rastrigin,30,13,129.34362310297698,60000
PSO,Rastrigin,30,14,76.61158465485414,60000
PSO,Rastrigin,30,15,120.3892862570226,60000
PSO,Rastrigin,30,16,88.55097650672198,60000
PSO,Rastrigin,30,17,112.42998458298314,60000
PSO,Rastrigin,30,18,96.58181868523411,60000
PSO,Rastrigin,30,19,84.64235034810508,60000
PSO,Rastrigin,30,20,125.5065172521243,60000
PSO,Rastrigin,30,21,157.3447202448058,60000
PSO,Rastrigin,30,22,82.65239184048954,60000
PSO,Rastrigin,30,23,75.6166863708012,60000
PSO,Rastrigin,30,24,78.67260104336447,60000
PSO,Rastrigin,30,25,61.68734049581195,60000
PSO,Rastrigin,30,26,166.22850276639193,60000
PSO,Rastrigin,30,27,45.76803593031008,60000
PSO,Rastrigin,30,28,119.4655475736538,60000
PSO,Rastrigin,30,29,90.61207945613137,60000
O-PSO,Rastrigin,30,0,55.71761138778578,60000
O-PSO,Rastrigin,30,1,96.58162065438918,60000
O-PSO,Rastrigin,30,2,142.27820795221626,60000
O-PSO,Rastrigin,30,3,59.697427419444296,60000
O-PSO,Rastrigin,30,4,100.56162967907338,60000
O-PSO,Rastrigin,30,5,101.55656853945234,60000
O-PSO,Rastrigin,30,6,107.52629242676238,60000
O-PSO,Rastrigin,30,7,82.58141511224659,60000
O-PSO,Rastrigin,30,8,121.45537968026665,60000
O-PSO,Rastrigin,30,9,60.69222380080538,60000
O-PSO,Rastrigin,30,10,57.707463691112935,60000
O-PSO,Rastrigin,30,11,142.4206593286388,60000
O-PSO,Rastrigin,30,12,87.55583457718157,60000
O-PSO,Rastrigin,30,13,156.27886598255014,60000
O-PSO,Rastrigin,30,14,74.62171215481288,60000
O-PSO,Rastrigin,30,15,104.5412628382854,60000
O-PSO,Rastrigin,30,16,154.28890729203746,60000
O-PSO,Rastrigin,30,17,67.6570441864076,60000
O-PSO,Rastrigin,30,18,56.712504634019524,60000
O-PSO,Rastrigin,30,19,97.57670181039146,60000
O-PSO,Rastrigin,30,20,90.54091481762259,60000
O-PSO,Rastrigin,30,21,91.53587387471597,60000
O-PSO,Rastrigin,30,22,94.59189044997089,60000
O-PSO,Rastrigin,30,23,74.69276985281027,60000
O-PSO,Rastrigin,30,24,108.52123128714118,60000
O-PSO,Rastrigin,30,25,66.66204473588527,60000
O-PSO,Rastrigin,30,26,73.62671252139336,60000
O-PSO,Rastrigin,30,27,97.50558278602762,60000
O-PSO,Rastrigin,30,28,177.2438971305133,60000
O-PSO,Rastrigin,30,29,100.49046504056508,60000
AO-PSO,Rastrigin,30,0,0.0,60017
AO-PSO,Rastrigin,30,1,0.0,60005
AO-PSO,Rastrigin,30,2,0.0,60018
AO-PSO,Rastrigin,30,3,0.0,60015
AO-PSO,Rastrigin,30,4,0.0,60002
AO-PSO,Rastrigin,30,5,0.0,60010
AO-PSO,Rastrigin,30,6,0.0,60028
AO-PSO,Rastrigin,30,7,0.0,60012
AO-PSO,Rastrigin,30,8,0.0,60011
AO-PSO,Rastrigin,30,9,0.0,60021
AO-PSO,Rastrigin,30,10,0.0,60013
AO-PSO,Rastrigin,30,11,0.0,60019
AO-PSO,Rastrigin,30,12,0.0,60028
AO-PSO,Rastrigin,30,13,0.0,60014
AO-PSO,Rastrigin,30,14,0.0,60009
AO-PSO,Rastrigin,30,15,0.0,60010
AO-PSO,Rastrigin,30,16,0.0,60009
AO-PSO,Rastrigin,30,17,0.0,60017
AO-PSO,Rastrigin,30,18,0.0,60016
AO-PSO,Rastrigin,30,19,0.0,60019
AO-PSO,Rastrigin,30,20,0.0,60001
AO-PSO,Rastrigin,30,21,0.0,60009
AO-PSO,Rastrigin,30,22,0.0,60021
AO-PSO,Rastrigin,30,23,0.0,60009
AO-PSO,Rastrigin,30,24,0.0,60018
AO-PSO,Rastrigin,30,25,0.0,60018
AO-PSO,Rastrigin,30,26,0.0,60002
AO-PSO,Rastrigin,30,27,0.0,60004
AO-PSO,Rastrigin,30,28,0.0,60011
AO-PSO,Rastrigin,30,29,0.0,60021
PSO,Griewank,30,0,1.1102230246251565e-16,60000
PSO,Griewank,30,1,5.440092820663267e-15,60000
PSO,Griewank,30,2,0.06579520654160764,60000
PSO,Griewank,30,3,0.007396040334163412,60000
PSO,Griewank,30,4,0.022126733432877965,60000
PSO,Griewank,30,5,90.9589048003246,60000
PSO,Griewank,30,6,1.1102230246251565e-16,60000
PSO,Griewank,30,7,0.014772407722822956,60000
PSO,Griewank,30,8,0.05374313448266077,60000
PSO,Griewank,30,9,1.2212453270876722e-15,60000
PSO,Griewank,30,10,0.007396040334115228,60000
PSO,Griewank,30,11,0.17408496108670135,60000
PSO,Griewank,30,12,0.05862202244264969,60000
PSO,Griewank,30,13,0.15759845697523112,60000
PSO,Griewank,30,14,90.47638875636301,60000
PSO,Griewank,30,15,0.06873446187115484,60000
PSO,Griewank,30,16,90.0330982034663,60000
PSO,Griewank,30,17,90.50144855509514,60000
PSO,Griewank,30,18,0.017226293859715414,60000
PSO,Griewank,30,19,2.1094237467877974e-15,60000
PSO,Griewank,30,20,90.47336353320715,60000
PSO,Griewank,30,21,2.8133051444001467e-13,60000
PSO,Griewank,30,22,1.1102230246251565e-16,60000
PSO,Griewank,30,23,0.0639312934825309,60000
PSO,Griewank,30,24,0.04427801574855461,60000
PSO,Griewank,30,25,0.04922495709537822,60000
PSO,Griewank,30,26,0.05857111699380002,60000
PSO,Griewank,30,27,0.8668998621893369,60000
PSO,Griewank,30,28,0.0,60000
PSO,Griewank,30,29,0.0,60000
O-PSO,Griewank,30,0,90.36429688343578,60000
O-PSO,Griewank,30,1,3.9968028886505635e-15,60000
O-PSO,Griewank,30,2,0.09357900756087179,60000
O-PSO,Griewank,30,3,0.027036998028780235,60000
O-PSO,Griewank,30,4,0.8850641463980509,60000
O-PSO,Griewank,30,5,0.0,60000
O-PSO,Griewank,30,6,0.01477977675482578,60000
O-PSO,Griewank,30,7,0.15666012948058805,60000
O-PSO,Griewank,30,8,0.1437704146372183,60000
O-PSO,Griewank,30,9,1.176861140273167,60000
O-PSO,Griewank,30,10,0.009864672061054347,60000
O-PSO,Griewank,30,11,4.440892098500626e-16,60000
O-PSO,Griewank,30,12,0.012320988875117123,60000
O-PSO,Griewank,30,13,2.0650357616101616,60000
O-PSO,Griewank,30,14,0.012320988875106575,60000
O-PSO,Griewank,30,15,0.12028780550685803,60000
O-PSO,Griewank,30,16,0.5575059794091746,60000
O-PSO,Griewank,30,17,0.017226293859713082,60000
O-PSO,Griewank,30,18,4.008132859206446,60000
O-PSO,Griewank,30,19,0.07558220119821413,60000
O-PSO,Griewank,30,20,0.0764143247860668,60000
O-PSO,Griewank,30,21,0.009864672061007052,60000
O-PSO,Griewank,30,22,5.551115123125783e-16,60000
O-PSO,Griewank,30,23,1.0184873684689135,60000
O-PSO,Griewank,30,24,90.00590638867727,60000
O-PSO,Griewank,30,25,0.25588141169100764,60000
O-PSO,Griewank,30,26,0.04175306661733835,60000
O-PSO,Griewank,30,27,0.017226293859713082,60000
O-PSO,Griewank,30,28,0.07059938300333046,60000
O-PSO,Griewank,30,29,0.08086049791538963,60000
AO-PSO,Griewank,30,0,0.0,60021
AO-PSO,Griewank,30,1,0.0,60006
AO-PSO,Griewank,30,2,0.0,60024
AO-PSO,Griewank,30,3,0.0,60022
AO-PSO,Griewank,30,4,0.0,60000
AO-PSO,Griewank,30,5,0.0,60018
AO-PSO,Griewank,30,6,0.0,60022
AO-PSO,Griewank,30,7,0.0,60019
AO-PSO,Griewank,30,8,0.0,60019
AO-PSO,Griewank,30,9,0.0,60013
AO-PSO,Griewank,30,10,0.0,60008
AO-PSO,Griewank,30,11,0.0,60017
AO-PSO,Griewank,30,12,0.0,60016
AO-PSO,Griewank,30,13,0.0,60015
AO-PSO,Griewank,30,14,0.0,60017
AO-PSO,Griewank,30,15,0.0,60003
AO-PSO,Griewank,30,16,0.0,60025
AO-PSO,Griewank,30,17,0.0,60029
AO-PSO,Griewank,30,18,0.0,60012
AO-PSO,Griewank,30,19,0.0,60022
AO-PSO,Griewank,30,20,0.0,60004
AO-PSO,Griewank,30,21,0.0,60022
AO-PSO,Griewank,30,22,0.0,60009
AO-PSO,Griewank,30,23,0.0,60018
AO-PSO,Griewank,30,24,0.0,60019
AO-PSO,Griewank,30,25,0.0,60010
AO-PSO,Griewank,30,26,0.0,60003
AO-PSO,Griewank,30,27,0.0,60005
AO-PSO,Griewank,30,28,0.0,60008
AO-PSO,Griewank,30,29,0.0,60011
PSO,Ackley,30,0,3.3445084225206974,60000
PSO,Ackley,30,1,4.254797951958356,60000
PSO,Ackley,30,2,0.9313046018168731,60000
PSO,Ackley,30,3,2.120053361599066,60000
PSO,Ackley,30,4,2.8138487409340915,60000
PSO,Ackley,30,5,7.961532845985284,60000
PSO,Ackley,30,6,4.340591106321359,60000
PSO,Ackley,30,7,2.3161618137940825,60000
PSO,Ackley,30,8,14.954187805901935,60000
PSO,Ackley,30,9,10.07300862579876,60000
PSO,Ackley,30,10,5.67706654902565,60000
PSO,Ackley,30,11,2.11895780300738,60000
PSO,Ackley,30,12,3.5738554390759885,60000
PSO,Ackley,30,13,5.123206498196659,60000
PSO,Ackley,30,14,2.579139550231592,60000
PSO,Ackley,30,15,3.6279415193188354,60000
PSO,Ackley,30,16,3.6807001454510844,60000
PSO,Ackley,30,17,2.495401165612105,60000
PSO,Ackley,30,18,1.1551485027098356,60000
PSO,Ackley,30,19,1.501746567451502,60000
PSO,Ackley,30,20,14.59404053326884,60000
PSO,Ackley,30,21,1.3404212878723212,60000
PSO,Ackley,30,22,4.989311947783381,60000
PSO,Ackley,30,23,2.118957803007373,60000
PSO,Ackley,30,24,4.6621319013009135,60000
PSO,Ackley,30,25,9.408409358961855,60000
PSO,Ackley,30,26,4.811128847195594,60000
PSO,Ackley,30,27,3.2223819162600376,60000
PSO,Ackley,30,28,2.31616181379399,60000
PSO,Ackley,30,29,1.8997440511881973,60000
O-PSO,Ackley,30,0,3.0937412517779674,60000
O-PSO,Ackley,30,1,2.738608622572699,60000
O-PSO,Ackley,30,2,6.467951720249328,60000
O-PSO,Ackley,30,3,1.6462236331031161,60000
O-PSO,Ackley,30,4,2.2201127680013824,60000
O-PSO,Ackley,30,5,3.933541170836151,60000
O-PSO,Ackley,30,6,1.6462236331031197,60000
O-PSO,Ackley,30,7,9.92895348310967,60000
O-PSO,Ackley,30,8,5.502001357304376,60000
O-PSO,Ackley,30,9,1.1551485027098356,60000
O-PSO,Ackley,30,10,2.957893306939067,60000
O-PSO,Ackley,30,11,2.220112768001386,60000
O-PSO,Ackley,30,12,4.504746384190057,60000
O-PSO,Ackley,30,13,3.6818870793899205,60000
O-PSO,Ackley,30,14,3.4600534293904386,60000
O-PSO,Ackley,30,15,3.5181535465960363,60000
O-PSO,Ackley,30,16,2.1200533615989525,60000
O-PSO,Ackley,30,17,2.814099738693344,60000
O-PSO,Ackley,30,18,5.732795949283801,60000
O-PSO,Ackley,30,19,7.04349622220483,60000
O-PSO,Ackley,30,20,3.9341939376732538,60000
O-PSO,Ackley,30,21,3.835706539750501,60000
O-PSO,Ackley,30,22,5.47266618746303,60000
O-PSO,Ackley,30,23,14.521655241816799,60000
O-PSO,Ackley,30,24,4.623745737152735,60000
O-PSO,Ackley,30,25,1.1551485027098285,60000
O-PSO,Ackley,30,26,3.344406683036102,60000
O-PSO,Ackley,30,27,14.806572288981249,60000
O-PSO,Ackley,30,28,3.4615956003465347,60000
O-PSO,Ackley,30,29,2.120053361598949,60000
AO-PSO,Ackley,30,0,4.440892098500626e-16,60007
AO-PSO,Ackley,30,1,4.440892098500626e-16,60022
AO-PSO,Ackley,30,2,4.440892098500626e-16,60015
AO-PSO,Ackley,30,3,4.440892098500626e-16,60013
AO-PSO,Ackley,30,4,4.440892098500626e-16,60015
AO-PSO,Ackley,30,5,4.440892098500626e-16,60007
AO-PSO,Ackley,30,6,4.440892098500626e-16,60009
AO-PSO,Ackley,30,7,4.440892098500626e-16,60002
AO-PSO,Ackley,30,8,4.440892098500626e-16,60007
AO-PSO,Ackley,30,9,4.440892098500626e-16,60005
AO-PSO,Ackley,30,10,4.440892098500626e-16,60008
AO-PSO,Ackley,30,11,4.440892098500626e-16,60013
AO-PSO,Ackley,30,12,4.440892098500626e-16,60018
AO-PSO,Ackley,30,13,4.440892098500626e-16,60016
AO-PSO,Ackley,30,14,4.440892098500626e-16,60011
AO-PSO,Ackley,30,15,4.440892098500626e-16,60004
AO-PSO,Ackley,30,16,4.440892098500626e-16,60015
AO-PSO,Ackley,30,17,4.440892098500626e-16,60010
AO-PSO,Ackley,30,18,4.440892098500626e-16,60017
AO-PSO,Ackley,30,19,4.440892098500626e-16,60023
AO-PSO,Ackley,30,20,4.440892098500626e-16,60018
AO-PSO,Ackley,30,21,4.440892098500626e-16,60023
AO-PSO,Ackley,30,22,4.440892098500626e-16,60009
AO-PSO,Ackley,30,23,4.440892098500626e-16,60017
AO-PSO,Ackley,30,24,4.440892098500626e-16,60003
AO-PSO,Ackley,30,25,4.440892098500626e-16,60027
AO-PSO,Ackley,30,26,4.440892098500626e-16,60004
AO-PSO,Ackley,30,27,4.440892098500626e-16,60017
AO-PSO,Ackley,30,28,4.440892098500626e-16,60024
AO-PSO,Ackley,30,29,4.440892098500626e-16,60017
PSO,Schwefel,30,0,5070.149600778026,60000
PSO,Schwefel,30,1,3990.558951620609,60000
PSO,Schwefel,30,2,4092.367239260475,60000
PSO,Schwefel,30,3,3840.15609116823,60000
PSO,Schwefel,30,4,4382.30841725597,60000
PSO,Schwefel,30,5,3269.234456694363,60000
PSO,Schwefel,30,6,2906.364347337674,60000
PSO,Schwefel,30,7,3593.735066798108,60000
PSO,Schwefel,30,8,4031.6503269266996,60000
PSO,Schwefel,30,9,4085.9105609810795,60000
PSO,Schwefel,30,10,4200.208153362484,60000
PSO,Schwefel,30,11,4682.56212072013,60000
PSO,Schwefel,30,12,4076.862859830495,60000
PSO,Schwefel,30,13,4315.245441538818,60000
PSO,Schwefel,30,14,5049.697752302133,60000
PSO,Schwefel,30,15,5050.20767611053,60000
PSO,Schwefel,30,16,4471.760077449751,60000
PSO,Schwefel,30,17,3938.8951596370625,60000
PSO,Schwefel,30,18,3692.9941553870885,60000
PSO,Schwefel,30,19,3408.832849359529,60000
PSO,Schwefel,30,20,4171.204084436495,60000
PSO,Schwefel,30,21,4656.869929147647,60000
