algorithm,benchmark,dim,seed,best_fitness,fe_used
PSO,Rosenbrock,10,5,237.30408892660847,20000
PSO,Rosenbrock,10,6,0.05764738348562979,20000
PSO,Rosenbrock,10,7,0.14676403577294533,20000
PSO,Rosenbrock,10,8,555.1400274645924,20000
PSO,Rosenbrock,10,9,1.2998723921860087,20000
PSO,Rosenbrock,10,10,0.959941900918122,20000
PSO,Rosenbrock,10,11,1.374532511857977,20000
PSO,Rosenbrock,10,12,3018.5834784117333,20000
PSO,Rosenbrock,10,13,0.5080098857394906,20000
PSO,Rosenbrock,10,14,0.9719842446908369,20000
PSO,Rosenbrock,10,15,0.6890379032671985,20000
PSO,Rosenbrock,10,16,0.9872219887764294,20000
PSO,Rosenbrock,10,17,0.14016335277923742,20000
PSO,Rosenbrock,10,18,1.8722393187257462,20000
PSO,Rosenbrock,10,19,1.8219427774855839,20000
PSO,Rosenbrock,10,20,0.09625458877739924,20000
PSO,Rosenbrock,10,21,90002.243947072,20000
PSO,Rosenbrock,10,22,0.5313006654355165,20000
PSO,Rosenbrock,10,23,1.4003912827816163,20000
PSO,Rosenbrock,10,24,5.346399028631629,20000
PSO,Rosenbrock,10,25,0.898679699858104,20000
PSO,Rosenbrock,10,26,1.4913579783090318,20000
PSO,Rosenbrock,10,27,5.610894913580923,20000
PSO,Rosenbrock,10,28,3018.5834797065572,20000
PSO,Rosenbrock,10,29,6.686139241720522,20000
O-PSO,Rosenbrock,10,0,93.64988559011043,20000
O-PSO,Rosenbrock,10,1,4.552555298224644,20000
O-PSO,Rosenbrock,10,2,0.5259542851405437,20000
O-PSO,Rosenbrock,10,3,1.3989016577278703,20000
O-PSO,Rosenbrock,10,4,0.1893776669428525,20000
O-PSO,Rosenbrock,10,5,555.1400274600315,20000
O-PSO,Rosenbrock,10,6,22.191704609663343,20000
O-PSO,Rosenbrock,10,7,82.19003856015327,20000
O-PSO,Rosenbrock,10,8,0.1526635531263835,20000
O-PSO,Rosenbrock,10,9,0.6688510213275249,20000
O-PSO,Rosenbrock,10,10,121.124528687527,20000
O-PSO,Rosenbrock,10,11,0.9763274046958902,20000
O-PSO,Rosenbrock,10,12,0.02548724240756568,20000
O-PSO,Rosenbrock,10,13,83.11625006863433,20000
O-PSO,Rosenbrock,10,14,1.1510928894902226,20000
O-PSO,Rosenbrock,10,15,0.6531935001960185,20000
O-PSO,Rosenbrock,10,16,1.2207676611895804,20000
O-PSO,Rosenbrock,10,17,1.4898762008757749,20000
O-PSO,Rosenbrock,10,18,4.496514077332362,20000
